Voltage	Current, 0 suns	Current, 1 suns	Current, 2 suns	Current, 3 suns
-0.444	-5.0894e-11	-0.016215	-0.03243	-0.048645
-0.456	-5.0894e-11	-0.016222	-0.032444	-0.048665
-0.468	-5.0894e-11	-0.016228	-0.032457	-0.048685
-0.48	-5.0894e-11	-0.016235	-0.03247	-0.048704
-0.492	-5.0894e-11	-0.016241	-0.032482	-0.048723
-0.504	-5.0894e-11	-0.016247	-0.032495	-0.048742
-0.516	-5.0894e-11	-0.016253	-0.032507	-0.04876
-0.528	-5.0894e-11	-0.016259	-0.032519	-0.048779
-0.54	-5.0894e-11	-0.016265	-0.032531	-0.048796
-0.552	-5.0894e-11	-0.016271	-0.032542	-0.048814
-0.564	-5.0894e-11	-0.016277	-0.032554	-0.048831
-0.576	-5.0894e-11	-0.016282	-0.032565	-0.048847
-0.588	-5.0894e-11	-0.016288	-0.032576	-0.048864
-0.6	-5.0894e-11	-0.016293	-0.032587	-0.04888
-0.612	-5.0894e-11	-0.016299	-0.032597	-0.048896
-0.624	-5.0894e-11	-0.016304	-0.032608	-0.048912
-0.636	-5.0894e-11	-0.016309	-0.032618	-0.048927
-0.648	-5.0894e-11	-0.016314	-0.032628	-0.048942
-0.66	-5.0894e-11	-0.016319	-0.032638	-0.048957
-0.672	-5.0894e-11	-0.016324	-0.032648	-0.048972
-0.684	-5.0894e-11	-0.016329	-0.032657	-0.048986
-0.696	-5.0894e-11	-0.016333	-0.032667	-0.049001
-0.708	-5.0894e-11	-0.016338	-0.032676	-0.049014
-0.72	-5.0894e-11	-0.016343	-0.032685	-0.049028
-0.732	-5.0894e-11	-0.016347	-0.032694	-0.049042
-0.744	-5.0894e-11	-0.016352	-0.032703	-0.049055
-0.756	-5.0894e-11	-0.016356	-0.032712	-0.049068
-0.768	-5.0894e-11	-0.01636	-0.03272	-0.049081
-0.78	-5.0894e-11	-0.016364	-0.032729	-0.049094
-0.792	-5.0894e-11	-0.016369	-0.032737	-0.049106
-0.804	-5.0894e-11	-0.016373	-0.032746	-0.049118
-0.816	-5.0894e-11	-0.016377	-0.032754	-0.049131
-0.828	-5.0894e-11	-0.016381	-0.032762	-0.049142
-0.84	-5.0894e-11	-0.016385	-0.03277	-0.049154
-0.852	-5.0894e-11	-0.016389	-0.032777	-0.049166
-0.864	-5.0894e-11	-0.016392	-0.032785	-0.049177
-0.876	-5.0894e-11	-0.016396	-0.032792	-0.049189
-0.888	-5.0894e-11	-0.0164	-0.0328	-0.0492
-0.9	-5.0894e-11	-0.016404	-0.032807	-0.049211
-0.912	-5.0894e-11	-0.016407	-0.032814	-0.049222
-0.924	-5.0894e-11	-0.016411	-0.032822	-0.049232
-0.936	-5.0894e-11	-0.016414	-0.032829	-0.049243
-0.948	-5.0894e-11	-0.016418	-0.032835	-0.049253
-0.96	-5.0894e-11	-0.016421	-0.032842	-0.049263
-0.972	-5.0894e-11	-0.016425	-0.032849	-0.049273
-0.984	-5.0894e-11	-0.016428	-0.032856	-0.049283
-0.996	-5.0894e-11	-0.016431	-0.032862	-0.049293
-1.008	-5.0894e-11	-0.016434	-0.032869	-0.049303
-1.02	-5.0894e-11	-0.016438	-0.032875	-0.049313
-1.032	-5.0894e-11	-0.016441	-0.032881	-0.049322
-1.044	-5.0894e-11	-0.016444	-0.032888	-0.049331
-1.056	-5.0894e-11	-0.016447	-0.032894	-0.049341
-1.068	-5.0894e-11	-0.01645	-0.0329	-0.04935
-1.08	-5.0894e-11	-0.016453	-0.032906	-0.049359
-1.092	-5.0894e-11	-0.016456	-0.032911	-0.049367
-1.104	-5.0894e-11	-0.016459	-0.032917	-0.049376
-1.116	-5.0894e-11	-0.016462	-0.032922	-0.049385
-1.128	-5.0894e-11	-0.016464	-0.032928	-0.049393
-1.14	-5.0894e-11	-0.016467	-0.032933	-0.049402
-1.152	-5.0894e-11	-0.01647	-0.032938	-0.04941
-1.164	-5.0894e-11	-0.016473	-0.032943	-0.049418
-1.176	-5.0894e-11	-0.016475	-0.032948	-0.049426
-1.188	-5.0412e-11	-0.016478	-0.032953	-0.049434
-1.2	-1.1106e-15	-0.01648	-0.032957	-0.049442
-1.188	5.0409e-11	-0.016478	-0.032957	-0.049434
-1.176	5.0892e-11	-0.016475	-0.032951	-0.049426
-1.164	5.0892e-11	-0.016473	-0.032945	-0.049418
-1.152	5.0892e-11	-0.01647	-0.03294	-0.04941
-1.14	5.0892e-11	-0.016467	-0.032934	-0.049402
-1.128	5.0892e-11	-0.016464	-0.032929	-0.049393
-1.116	5.0892e-11	-0.016462	-0.032923	-0.049385
-1.104	5.0892e-11	-0.016459	-0.032917	-0.049376
-1.092	5.0892e-11	-0.016456	-0.032912	-0.049367
-1.08	5.0892e-11	-0.016453	-0.032906	-0.049359
-1.068	5.0892e-11	-0.01645	-0.0329	-0.04935
-1.056	5.0892e-11	-0.016447	-0.032894	-0.04934
-1.044	5.0892e-11	-0.016444	-0.032887	-0.049331
