Voltage	Current, 0 suns	Current, 1 suns	Current, 2 suns	Current, 3 suns
-1.092	-2.009e-11	-0.016919	-0.033838	-0.050756
-1.105	-2.003e-11	-0.016919	-0.033838	-0.050756
-1.118	-1.9971e-11	-0.016919	-0.033838	-0.050756
-1.131	-1.9912e-11	-0.016919	-0.033838	-0.050756
-1.144	-1.9854e-11	-0.016919	-0.033838	-0.050756
-1.157	-1.9797e-11	-0.016919	-0.033838	-0.050756
-1.17	-1.974e-11	-0.016919	-0.033838	-0.050756
-1.183	-1.9685e-11	-0.016919	-0.033838	-0.050756
-1.196	-1.9629e-11	-0.016919	-0.033838	-0.050756
-1.209	-1.9575e-11	-0.016919	-0.033838	-0.050756
-1.222	-1.952e-11	-0.016919	-0.033838	-0.050756
-1.235	-1.9467e-11	-0.016919	-0.033838	-0.050756
-1.248	-1.9414e-11	-0.016919	-0.033838	-0.050756
-1.261	-1.9362e-11	-0.016919	-0.033838	-0.050756
-1.274	-1.931e-11	-0.016919	-0.033838	-0.050756
-1.287	-1.9232e-11	-0.016919	-0.033838	-0.050756
-1.3	-1.0393e-12	-0.016919	-0.033838	-0.050756
-1.287	1.7164e-11	-0.016919	-0.033838	-0.050756
-1.274	1.7247e-11	-0.016919	-0.033838	-0.050756
-1.261	1.7302e-11	-0.016919	-0.033838	-0.050756
-1.248	1.7364e-11	-0.016919	-0.033838	-0.050756
-1.235	1.7424e-11	-0.016919	-0.033838	-0.050756
-1.222	1.7483e-11	-0.016919	-0.033838	-0.050756
-1.209	1.7544e-11	-0.016919	-0.033838	-0.050756
-1.196	1.7606e-11	-0.016919	-0.033838	-0.050756
-1.183	1.7667e-11	-0.016919	-0.033838	-0.050756
-1.17	1.773e-11	-0.016919	-0.033838	-0.050756
-1.157	1.7794e-11	-0.016919	-0.033838	-0.050756
-1.144	1.7859e-11	-0.016919	-0.033838	-0.050756
-1.131	1.7924e-11	-0.016919	-0.033838	-0.050756
-1.118	1.7989e-11	-0.016919	-0.033838	-0.050756
-1.105	1.8056e-11	-0.016919	-0.033838	-0.050756
-1.092	1.8124e-11	-0.016919	-0.033838	-0.050756
-1.079	1.8192e-11	-0.016919	-0.033838	-0.050756
-1.066	1.8261e-11	-0.016919	-0.033838	-0.050756
-1.053	1.8331e-11	-0.016919	-0.033838	-0.050756
-1.04	1.8402e-11	-0.016919	-0.033838	-0.050756
-1.027	1.8474e-11	-0.016919	-0.033838	-0.050756
-1.014	1.8546e-11	-0.016919	-0.033838	-0.050756
-1.001	1.862e-11	-0.016919	-0.033838	-0.050756
-0.988	1.8694e-11	-0.016919	-0.033838	-0.050756
-0.975	1.877e-11	-0.016919	-0.033838	-0.050756
-0.962	1.8846e-11	-0.016919	-0.033838	-0.050756
-0.949	1.8924e-11	-0.016919	-0.033838	-0.050756
-0.936	1.9002e-11	-0.016919	-0.033838	-0.050756
-0.923	1.9081e-11	-0.016919	-0.033838	-0.050756
-0.91	1.9162e-11	-0.016919	-0.033838	-0.050756
-0.897	1.9243e-11	-0.016919	-0.033837	-0.050756
-0.884	1.9326e-11	-0.016919	-0.033837	-0.050756
-0.871	1.9409e-11	-0.016919	-0.033837	-0.050756
-0.858	1.9494e-11	-0.016919	-0.033837	-0.050756
-0.845	1.958e-11	-0.016919	-0.033837	-0.050756
-0.832	1.9667e-11	-0.016919	-0.033837	-0.050756
-0.819	1.9755e-11	-0.016919	-0.033837	-0.050756
-0.806	1.9845e-11	-0.016919	-0.033837	-0.050756
-0.793	1.9936e-11	-0.016919	-0.033837	-0.050756
-0.78	2.0028e-11	-0.016919	-0.033837	-0.050756
-0.767	2.0121e-11	-0.016919	-0.033837	-0.050756
-0.754	2.0216e-11	-0.016919	-0.033837	-0.050756
-0.741	2.0312e-11	-0.016919	-0.033837	-0.050756
-0.728	2.0409e-11	-0.016919	-0.033837	-0.050756
-0.715	2.0507e-11	-0.016919	-0.033837	-0.050756
-0.702	2.0607e-11	-0.016919	-0.033837	-0.050756
-0.689	2.0709e-11	-0.016919	-0.033837	-0.050756
-0.676	2.0813e-11	-0.016919	-0.033837	-0.050756
-0.663	2.0917e-11	-0.016919	-0.033837	-0.050756
-0.65	2.1021e-11	-0.016919	-0.033837	-0.050756
-0.637	2.113e-11	-0.016919	-0.033837	-0.050756
-0.624	2.124e-11	-0.016919	-0.033837	-0.050756
-0.611	2.135e-11	-0.016919	-0.033837	-0.050756
-0.598	2.1463e-11	-0.016919	-0.033837	-0.050756
-0.585	2.1577e-11	-0.016919	-0.033837	-0.050756
-0.572	2.1693e-11	-0.016919	-0.033837	-0.050756
-0.559	2.1811e-11	-0.016919	-0.033837	-0.050756
-0.546	2.1931e-11	-0.016919	-0.033837	-0.050756
-0.533	2.2052e-11	-0.016919	-0.033837	-0.050756
-0.52	2.2176e-11	-0.016919	-0.033837	-0.050756
-0.507	2.2301e-11	-0.016919	-0.033837	-0.050756
-0.494	2.2429e-11	-0.016919	-0.033837	-0.050756
-0.481	2.2558e-11	-0.016919	-0.033837	-0.050756
-0.468	2.269e-11	-0.016919	-0.033837	-0.050756
-0.455	2.2823e-11	-0.016919	-0.033837	-0.050756
-0.442	2.2959e-11	-0.016919	-0.033837	-0.050756
-0.429	2.3098e-11	-0.016919	-0.033837	-0.050756
-0.416	2.3238e-11	-0.016919	-0.033837	-0.050756
-0.403	2.3381e-11	-0.016919	-0.033837	-0.050756
-0.39	2.3526e-11	-0.016919	-0.033837	-0.050756
-0.377	2.3674e-11	-0.016919	-0.033837	-0.050756
-0.364	2.3824e-11	-0.016919	-0.033837	-0.050756
-0.351	2.3977e-11	-0.016919	-0.033837	-0.050756
-0.338	2.4133e-11	-0.016919	-0.033837	-0.050756
-0.325	2.4291e-11	-0.016919	-0.033837	-0.050756
-0.312	2.4453e-11	-0.016919	-0.033837	-0.050756
-0.299	2.4617e-11	-0.016919	-0.033837	-0.050756
-0.286	2.4784e-11	-0.016919	-0.033837	-0.050756
-0.273	2.4954e-11	-0.016919	-0.033837	-0.050756
-0.26	2.5128e-11	-0.016919	-0.033837	-0.050756
-0.247	2.5304e-11	-0.016919	-0.033837	-0.050755
-0.234	2.5484e-11	-0.016918	-0.033837	-0.050755
-0.221	2.5668e-11	-0.016918	-0.033837	-0.050755
-0.208	2.5855e-11	-0.016918	-0.033837	-0.050755
-0.195	2.6046e-11	-0.016918	-0.033837	-0.050755
-0.182	2.624e-11	-0.016918	-0.033837	-0.050755
-0.169	2.6439e-11	-0.016918	-0.033837	-0.050755
-0.156	2.6641e-11	-0.016918	-0.033837	-0.050755
-0.143	2.6848e-11	-0.016918	-0.033837	-0.050755
-0.13	2.7059e-11	-0.016918	-0.033837	-0.050755
-0.117	2.7275e-11	-0.016918	-0.033837	-0.050755
-0.104	2.7496e-11	-0.016918	-0.033837	-0.050755
-0.091	2.7721e-11	-0.016918	-0.033837	-0.050755
-0.078	2.7953e-11	-0.016918	-0.033837	-0.050755
-0.065	2.819e-11	-0.016918	-0.033837	-0.050755
-0.052	2.8434e-11	-0.016918	-0.033837	-0.050755
-0.039	2.8685e-11	-0.016918	-0.033837	-0.050755
-0.026	2.8945e-11	-0.016918	-0.033837	-0.050755
-0.013	2.9217e-11	-0.016918	-0.033836	-0.050755
0	2.939e-11	-0.016918	-0.033836	-0.050755
